text,label
"[CLS]  Im angefochtenen Entscheid werden die gesetzlichen Bestimmungen und die Grundsätze über den Begriff der Invalidität, den Umfang des Rentenanspruchs, die Bemessung des Invaliditätsgrades bei erwerbstätigen Versicherten nach der allgemeinen Methode des Einkommensvergleichs zutreffend dargelegt. Richtig wiedergegeben ist auch die Rechtsprechung zum nur ausnahmsweise invalidisierenden Charakter somatoformer Schmerzstörungen. Gleiches gilt für die Revision von Invalidenrenten bei wesentlicher Änderung der tatsächlichen Verhältnisse, namentlich was die dabei zu vergleichenden Sachverhalte anbelangt  [SEP]   3.1 Die Vorinstanz hat die gesetzlichen Bestimmungen zu den Begriffen der Erwerbsunfähigkeit und der Invalidität, zum Umfang des Rentenanspruchs sowie zur Ermittlung des Invaliditätsgrades nach der Methode des Einkommensvergleichs und zur Bedeutung ärztlicher Auskünfte im Rahmen der Invaliditätsbemessung zutreffend dargelegt. Es wird darauf verwiesen. ",1
"[CLS]  Im angefochtenen Entscheid werden die gesetzlichen Bestimmungen und die Grundsätze über den Begriff der Invalidität, den Umfang des Rentenanspruchs, die Bemessung des Invaliditätsgrades bei erwerbstätigen Versicherten nach der allgemeinen Methode des Einkommensvergleichs zutreffend dargelegt. Richtig wiedergegeben ist auch die Rechtsprechung zum nur ausnahmsweise invalidisierenden Charakter somatoformer Schmerzstörungen. Gleiches gilt für die Revision von Invalidenrenten bei wesentlicher Änderung der tatsächlichen Verhältnisse, namentlich was die dabei zu vergleichenden Sachverhalte anbelangt  [SEP]   Invalidität ist die voraussichtlich bleibende oder längere Zeit dauernde ganze oder teilweise Erwerbsunfähigkeit. Die Invalidität kann Folge von Geburtsgebrechen, Krankheit oder Unfall sein. Krankheit ist jede Beeinträchtigung der körperlichen, geistigen oder psychischen Gesundheit, die nicht Folge eines Unfalles ist und die eine medizinische Untersuchung oder Behandlung erfordert oder eine Arbeitsunfähigkeit zur Folge hat. ",0
"[CLS]  Im angefochtenen Entscheid werden die gesetzlichen Bestimmungen und die Grundsätze über den Begriff der Invalidität, den Umfang des Rentenanspruchs, die Bemessung des Invaliditätsgrades bei erwerbstätigen Versicherten nach der allgemeinen Methode des Einkommensvergleichs zutreffend dargelegt. Richtig wiedergegeben ist auch die Rechtsprechung zum nur ausnahmsweise invalidisierenden Charakter somatoformer Schmerzstörungen. Gleiches gilt für die Revision von Invalidenrenten bei wesentlicher Änderung der tatsächlichen Verhältnisse, namentlich was die dabei zu vergleichenden Sachverhalte anbelangt  [SEP]   Die Vorinstanz legt folgende Bestimmungen und Grundsätze zutreffend dar: zum Begriff der Invalidität, zum Anspruch auf eine Invalidenrente, zur allgemeinen Methode des Einkommensvergleichs sowie zu den Voraussetzungen und zur Höhe eines behinderungsbedingten Abzuges vom Tabellenlohn. Darauf wird verwiesen. ",1
"[CLS]  Im angefochtenen Entscheid werden die gesetzlichen Bestimmungen und die Grundsätze über den Begriff der Invalidität, den Umfang des Rentenanspruchs, die Bemessung des Invaliditätsgrades bei erwerbstätigen Versicherten nach der allgemeinen Methode des Einkommensvergleichs zutreffend dargelegt. Richtig wiedergegeben ist auch die Rechtsprechung zum nur ausnahmsweise invalidisierenden Charakter somatoformer Schmerzstörungen. Gleiches gilt für die Revision von Invalidenrenten bei wesentlicher Änderung der tatsächlichen Verhältnisse, namentlich was die dabei zu vergleichenden Sachverhalte anbelangt  [SEP]   Im Kanton Zürich wählen die Bezirksgerichte die Vorsitzenden und die weiteren Mitglieder der Paritätischen Schlichtungsbehörde in Miet- und Pachtsachen. Für die weiteren Mitglieder, d.h. für die Vermieter- und Mietervertreter, unterbreiten die Verbände dem Bezirksgericht Wahlvorschläge. Es ist unbestritten, dass der Beschwerdeführer 2 als Verband im Sinne von § 64 Abs. 2 GOG berechtigt ist, für die Mietervertreter der Schlichtungsbehörde des Bezirks Meilen Wahlvorschläge zu unterbreiten, und dass das Bezirksgericht bei der Wahl für die Amtsperiode 2014-2020 statt der vom Beschwerdeführer 2 vo",0
"[CLS]  Im angefochtenen Entscheid werden die gesetzlichen Bestimmungen und die Grundsätze über den Begriff der Invalidität, den Umfang des Rentenanspruchs, die Bemessung des Invaliditätsgrades bei erwerbstätigen Versicherten nach der allgemeinen Methode des Einkommensvergleichs zutreffend dargelegt. Richtig wiedergegeben ist auch die Rechtsprechung zum nur ausnahmsweise invalidisierenden Charakter somatoformer Schmerzstörungen. Gleiches gilt für die Revision von Invalidenrenten bei wesentlicher Änderung der tatsächlichen Verhältnisse, namentlich was die dabei zu vergleichenden Sachverhalte anbelangt  [SEP]   Streitig und zu prüfen ist der Anspruch auf eine Invalidenrente. Im Einspracheentscheid werden die Bestimmungen und Grundsätze über den Begriff der Invalidität, die Voraussetzungen für einen Rentenanspruch und dessen Umfang sowie die Aufgabe des Arztes im Rahmen der Invaliditätsbemessung zutreffend dargelegt. Gleiches gilt für die vorinstanzliche Darstellung der Rechtsprechung zu den geistigen Gesundheitsschäden. Darauf wird verwiesen. ",1
"[CLS]  Im angefochtenen Entscheid werden die gesetzlichen Bestimmungen und die Grundsätze über den Begriff der Invalidität, den Umfang des Rentenanspruchs, die Bemessung des Invaliditätsgrades bei erwerbstätigen Versicherten nach der allgemeinen Methode des Einkommensvergleichs zutreffend dargelegt. Richtig wiedergegeben ist auch die Rechtsprechung zum nur ausnahmsweise invalidisierenden Charakter somatoformer Schmerzstörungen. Gleiches gilt für die Revision von Invalidenrenten bei wesentlicher Änderung der tatsächlichen Verhältnisse, namentlich was die dabei zu vergleichenden Sachverhalte anbelangt  [SEP]   dass die Gerichtskosten dem Verfahrensausgang entsprechend dem Beschwerdeführer aufzuerlegen sind; ",0
"[CLS]  Im angefochtenen Entscheid werden die gesetzlichen Bestimmungen und die Grundsätze über den Begriff der Invalidität, den Umfang des Rentenanspruchs, die Bemessung des Invaliditätsgrades bei erwerbstätigen Versicherten nach der allgemeinen Methode des Einkommensvergleichs zutreffend dargelegt. Richtig wiedergegeben ist auch die Rechtsprechung zum nur ausnahmsweise invalidisierenden Charakter somatoformer Schmerzstörungen. Gleiches gilt für die Revision von Invalidenrenten bei wesentlicher Änderung der tatsächlichen Verhältnisse, namentlich was die dabei zu vergleichenden Sachverhalte anbelangt  [SEP]   2.1 Die Begriffe der Invalidität und der Erwerbsunfähigkeit sowie die Voraussetzungen für den Anspruch auf eine Invalidenrente und deren Umfang hat das kantonale Gericht zutreffend dargelegt. Dasselbe gilt hinsichtlich der gesetzlichen Bestimmungen über die Invaliditätsbemessung bei Erwerbstätigen nach der Einkommensvergleichsmethode und die dabei nach der Rechtsprechung zu beachtenden Grundsätze. Richtig sind weiter die vorinstanzlichen Ausführungen über die rückwirkende Zusprache einer zeitlich befristeten Invalidenrente, die dabei zu beachtende Bestimmung über die Rentenrevision und den Ze",1
"[CLS]  Im angefochtenen Entscheid werden die gesetzlichen Bestimmungen und die Grundsätze über den Begriff der Invalidität, den Umfang des Rentenanspruchs, die Bemessung des Invaliditätsgrades bei erwerbstätigen Versicherten nach der allgemeinen Methode des Einkommensvergleichs zutreffend dargelegt. Richtig wiedergegeben ist auch die Rechtsprechung zum nur ausnahmsweise invalidisierenden Charakter somatoformer Schmerzstörungen. Gleiches gilt für die Revision von Invalidenrenten bei wesentlicher Änderung der tatsächlichen Verhältnisse, namentlich was die dabei zu vergleichenden Sachverhalte anbelangt  [SEP]   Aus der Gegenüberstellung der Vergleichseinkommen resultiert ein Invaliditätsgrad von 60 % im Jahr 2000 und von 45 % im Jahr 2002. Das kantonale Gericht hat entsprechend und in Berücksichtigung der Regelung über die zeitliche Wirksamkeit einer Rentenrevision bei Verbesserung der Erwerbsfähigkeit die Herabsetzung des anfänglichen vollen Rentenanspruchs ab Dezember 2000 auf eine halbe Rente und ab Dezember 2002 auf eine Viertelsrente, welche bis Ende 2003 als halbe Härtefallrente auszurichten war, bestätigt. ",0
"[CLS]  Im angefochtenen Entscheid werden die gesetzlichen Bestimmungen und die Grundsätze über den Begriff der Invalidität, den Umfang des Rentenanspruchs, die Bemessung des Invaliditätsgrades bei erwerbstätigen Versicherten nach der allgemeinen Methode des Einkommensvergleichs zutreffend dargelegt. Richtig wiedergegeben ist auch die Rechtsprechung zum nur ausnahmsweise invalidisierenden Charakter somatoformer Schmerzstörungen. Gleiches gilt für die Revision von Invalidenrenten bei wesentlicher Änderung der tatsächlichen Verhältnisse, namentlich was die dabei zu vergleichenden Sachverhalte anbelangt  [SEP]   Die Vorinstanz hat die Bestimmungen und Grundsätze über den Begriff der Invalidität, die Ermittlung des Invaliditätsgrades bei erwerbstätigen Versicherten sowie die Voraussetzungen für einen Rentenanspruch und dessen Umfang richtig dargelegt. Dasselbe gilt hinsichtlich der Aufgabe des Arztes oder der Ärztin im Rahmen der Invaliditätsbemessung. Darauf wird verwiesen. ",1
"[CLS]  Im angefochtenen Entscheid werden die gesetzlichen Bestimmungen und die Grundsätze über den Begriff der Invalidität, den Umfang des Rentenanspruchs, die Bemessung des Invaliditätsgrades bei erwerbstätigen Versicherten nach der allgemeinen Methode des Einkommensvergleichs zutreffend dargelegt. Richtig wiedergegeben ist auch die Rechtsprechung zum nur ausnahmsweise invalidisierenden Charakter somatoformer Schmerzstörungen. Gleiches gilt für die Revision von Invalidenrenten bei wesentlicher Änderung der tatsächlichen Verhältnisse, namentlich was die dabei zu vergleichenden Sachverhalte anbelangt  [SEP]   dass der Beschwerdeführer in seiner Eingabe nichts vorbringt, was darauf hindeuten würde, die vorinstanzlichen Sachverhaltsfeststellungen seien im Sinne von ##C## - soweit überhaupt beanstandet - qualifiziert unzutreffend oder die darauf beruhenden Erwägungen rechtsfehlerhaft, ",0
