CaseParID1	CaseParID2	lawIDs	CommonCitations
4	12	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	14	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	29	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	563	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	567	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	597	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	726	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	767	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	874	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	887	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 2 IVG
4	889	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	982	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	983	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 1 Abs. 1 IVG
4	1009	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	1168	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	1170	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	1223	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	1296	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	1366	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 1 Abs. 1 IVG
4	1412	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	1415	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	1418	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	1447	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	1456	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	1554	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	1663	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	1703	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	1888	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	1914	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	1957	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	2177	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	2197	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	2214	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
