Citation	Law	CasePText	CaseName	Goals: diversity of topcs, (locally) semantic similarity beyond lexical matches
Art. 66 Abs. 1 BGG	 Die Gerichtskosten werden in der Regel der unterliegenden Partei auferlegt. Wenn die Umstände es rechtfertigen, kann das Bundesgericht die Kosten anders verteilen oder darauf verzichten, Kosten zu erheben.      	 Bei diesem Ausgang trägt die unterlegene Gesuchstellerin die Kosten des Verfahrens (##C##). Ihr Gesuch um unentgeltliche Rechtspflege ist wegen Aussichtslosigkeit der Rechtsbegehren abzuweisen (##C##). Ihren eingeschränkten finanziellen Verhältnissen kann bei der Festsetzung der Gerichtsgebühr und anderer Kosten des Verfahrens Rechnung getragen werden (##C##).  	6F_32/2020 17.03.2021
Art. 64 Abs. 1 BGG	 Das Bundesgericht befreit eine Partei, die nicht über die erforderlichen Mittel verfügt, auf Antrag von der Bezahlung der Gerichtskosten und von der Sicherstellung der Parteientschädigung, sofern ihr Rechtsbegehren nicht aussichtslos erscheint.      	 Bei diesem Ausgang trägt die Gesuchstellerin die Kosten des Verfahrens (##C##). Ein Gesuch um unentgeltliche Rechtspflege ist wegen Aussichtslosigkeit abzuweisen (##C##). Ihren eingeschränkten finanziellen Verhältnissen kann bei der Festsetzung der Gerichtsgebühr Rechnung getragen werden (##C##).  	6F_32/2020 17.03.2021
Art. 28 Abs. 1 IVG	 Anspruch auf eine Rente haben Versicherte, die: a. ihre Erwerbsfähigkeit oder die Fähigkeit, sich im Aufgabenbereich zu betätigen, nicht durch zumutbare Eingliederungsmassnahmen wieder herstellen, erhalten oder verbessern können; b. während eines Jahres ohne wesentlichen Unterbruch durchschnittlich mindestens 40 Prozent arbeitsunfähig      	 Streitig und zu prüfen ist, ob der Beschwerdeführer im für eine Rente ausreichenden Ausmass invalid ist. Ebenfalls unklar ist, ob eine Eingliederung in die Arbeitswelt tatsächlich aussichtslos ist oder nicht.    	I 795/06 30.03.2007
Art. 29 Abs. 1 BV	 Jede Person hat in Verfahren vor Gerichts- und Verwaltungsinstanzen Anspruch auf gleiche und gerechte Behandlung sowie auf Beurteilung innert angemessener Frist.      	 Nach der materiell unverändert von ##C## in ##C## überführten, ebenfalls in ##C## enthaltenen Garantie des verfassungsmässigen Richters hat der Einzelne Anspruch darauf, dass seine Sache von einem unparteiischen, unvoreingenommenen und unbefangenen Richter ohne Einwirken sachfremder Umstände entschieden wird. Liegen bei objektiver Betrachtungsweise Gegebenheiten vor, die den Anschein der Befangenheit und die Gefahr der Voreingenommenheit zu begründen vermögen, so ist die Garantie verletzt.    	U 553/06 22.02.2008
Art. 30 Abs. 1 BV	 Jede Person, deren Sache in einem gerichtlichen Verfahren beurteilt werden muss, hat Anspruch auf ein durch Gesetz geschaffenes, zuständiges, unabhängiges und unparteiisches Gericht. Ausnahmegerichte sind untersagt.      	 Nach der materiell unverändert von ##C## in ##C## überführten, ebenfalls in ##C## enthaltenen Garantie des verfassungsmässigen Richters hat der Einzelne Anspruch darauf, dass seine Angelegenheit von einem unparteiischen, unvoreingenommenen und unbefangenen Richter ohne Einwirken sachfremder Umstände entschieden wird. Liegen bei objektiver Betrachtungsweise Gegebenheiten vor, die den Anschein der Befangenheit und die Gefahr der Voreingenommenheit zu begründen vermögen, so ist die Garantie verletzt.    	U 553/06 22.02.2008
Art. 28 Abs. 2 IVG	 Die Rente wird nach dem Grad der Invalidität wie folgt abgestuft: in Bruchteilen einer ganzen Rente mindestens 40 Prozent ein Viertel mindestens 50 Prozent ein Zweitel mindestens 60 Prozent drei Viertel mindestens 70 Prozent ganze Rente      	 Das kantonale Gericht hat durch Einkommensvergleich einen Invaliditätsgrad von 38 % ermittelt, was keinen Anspruch auf Rente wegen Invalidität ergibt (##C##).   	I 407/06 28.02.2007
Art. 28 Abs. 2 IVG	 Die Rente wird nach dem Grad der Invalidität wie folgt abgestuft: in Bruchteilen einer ganzen Rente mindestens 40 Prozent ein Viertel mindestens 50 Prozent ein Zweitel mindestens 60 Prozent drei Viertel mindestens 70 Prozent ganze Rente      	 Für die Festsetzung des Invalideneinkommens zog die Vorinstanz die Tabellenlöhne gemäss der Schweizerischen Lohnstrukturerhebung des Bundesamtes für Statistik (LSE 2002, Tabelle TA1, Anforderungsniveau 4, Männer: Fr. 4557.-) bei und rechnete den auf vierzig Wochenstunden basierenden Wert auf die betriebsübliche Arbeitszeit von 41,7 Stunden im Jahre 2002 hoch und reduzierte ihn entsprechend dem Ausmass der Arbeitsunfähigkeit (50 %) sowie um den leidensbedingten Abzug von 10 %, woraus ein Invalideneinkommen von Fr. 25'654.- resultierte. Der Beschwerdeführer macht geltend, für die leidensbedingte Einschränkung und die fehlende Berufserfahrung sei ein höherer Abzug gerechfertigt. Zu berücksichtigen sind vorliegend hauptsächlich die Kriterien der leidensbedingten Einschränkung und des Beschäftigungsgrades. Entgegen der Auffassung des Beschwerdeführers ist dem Aspekt der fehlenden Dienstjahre, wenn überhaupt, nur marginal Rechnung zu tragen, weil die Bedeutung der Dienstjahre im privaten Sektor abnimmt, je niedriger das Anforderungsprofil ist.  	I 278/06 18.05.2007
Art. 91 Abs. 1 UVG	 Die Prämien für die obligatorische Versicherung der Berufsunfälle und Berufskrankheiten trägt der Arbeitgeber.      	 In materieller Hinsicht ist vorliegend umstritten, ob der Versicherte einen Unfall oder eine unfallähnliche Körperschädigung erlitten hat. Die zur Diskussion stehenden Ereignisse vom 20. Oktober 2004 und vom 20. Februar 2005 haben sich beide während der Arbeit für die SBB als Arbeitgeber zugetragen. Würde ein Arbeitsunfall oder eine während der Arbeit eingetretene unfallähnliche Körperschädigung verneint, so hätte dies direkte Auswirkungen auf die Lohnzahlungspflicht des Arbeitgebers (welche im Übrigen die Prämien für die obligatorische Versicherung der Berufsunfälle und Berufskrankheiten vollumfänglich zu bezahlen haben: ##C##).   	U 519/06 28.09.2007
Art. 47 ATSG	 Sofern überwiegende Privatinteressen gewahrt bleiben, steht die Akteneinsicht zu: a. der versicherten Person für die sie betreffenden Daten; b. den Parteien für die Daten, die sie benötigen, um einen Anspruch oder eine Verpflichtung nach einem Sozialversicherungsgesetz zu wahren oder zu erfüllen oder um ein Rechtsmittel gegen eine auf Grund desselben Gesetzes erlassene Verfügung geltend zu machen; c. Behörden, die zuständig sind für Beschwerden gegen auf Grund eines Sozialversicherungsgesetzes      Handelt es sich um Gesundheitsdaten, deren Bekanntgabe sich für die zur Einsicht berechtigte Person gesundheitlich nachteilig auswirken könnte, so kann von ihr verlangt werden, dass sie einen Arzt oder eine Ärztin bezeichnet, der oder die ihr diese Daten bekannt gibt.      	 6.1 Am 1. Juli 1993 ist das Bundesgesetz vom 19. Juni 1992 über den Datenschutz (DSG; SR 235.1) in Kraft getreten. Die Anforderungen des DSG stützen sich auf die in der Bundesverfassung festgelegten Grundrechte, die nur dann stark eingeschränkt werden dürfen, wenn ein formelles Gesetz dies ausdrücklich erlaubt (Botschaft über die Anpassung und Harmonisierung der gesetzlichen Grundlagen für die Bearbeitung von Personendaten in den Sozialversicherungen vom 24. November 1999 [BBl 2000 I 255]; nachfolgend: Botschaft).     	U 519/06 28.09.2007
Art. 16 UVG	 Der Anspruch auf Taggeld entsteht am dritten Tag nach dem Unfalltag. Er erlischt mit der Wiedererlangung der vollen Arbeitsfähigkeit, mit dem Beginn einer Rente oder mit dem Tod des Versicherten.            	 Das kantonale Gericht hat die vorliegend massgeblichen gesetzlichen Bestimmungen (##C## [Heilbehandlung], ##C## [Taggeld], ##C## [Invalidenrente], ##C## [Integritätsentschädigung]) und die von der Rechtsprechung entwickelten Grundsätze zu dem für die Leistungspflicht des obligatorischen Unfallversicherers erforderlichen natürlichen Kausalzusammenhang zwischen dem Unfallereignis und dem eingetretenen Gesundheitsschaden richtig dargelegt. Gleiches gilt für die Erwägungen zur Bedeutung ärztlicher Auskünfte im Rahmen der Invaliditätsschätzung sowie zum Beweiswert und zur Beweiswürdigung medizinischer Berichte und Gutachten.   	U 449/06 27.07.2007
